tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2009-339,Brisbane,20090104,Hard,105208,104925,6-4 6-4,3,R32,90.0,4.0,2.0,61.0,38.0,28.0,11.0,10.0,2.0,4.0,3.0,4.0,65.0,31.0,21.0,14.0,10.0,9.0,13.0,53.0,1408.0,3.0,10590.0
2009-339,Brisbane,20090104,Hard,103908,104559,6-3 6-3,3,R32,73.0,9.0,2.0,48.0,28.0,26.0,9.0,9.0,2.0,3.0,3.0,4.0,50.0,25.0,17.0,10.0,9.0,5.0,9.0,31.0,2000.0,65.0,1226.0
2009-339,Brisbane,20090104,Hard,105453,104035,6-3 6-2,3,R32,59.0,5.0,4.0,45.0,23.0,19.0,14.0,9.0,0.0,1.0,5.0,1.0,53.0,29.0,18.0,8.0,8.0,4.0,8.0,61.0,1280.0,68.0,1144.0
2009-339,Brisbane,20090104,Hard,104607,105454,6-0 6-4,3,R32,67.0,5.0,2.0,50.0,33.0,28.0,6.0,8.0,4.0,5.0,0.0,2.0,51.0,27.0,15.0,7.0,8.0,3.0,8.0,20.0,2430.0,248.0,304.0
2009-339,Brisbane,20090104,Hard,104269,106071,6-4 6-2,3,R32,65.0,1.0,2.0,50.0,39.0,31.0,5.0,9.0,3.0,4.0,3.0,1.0,56.0,34.0,19.0,9.0,9.0,9.0,13.0,15.0,2830.0,764.0,42.0
2009-339,Brisbane,20090104,Hard,104339,104025,7-6(2) 6-7(4) 7-6(6),3,R32,172.0,23.0,3.0,122.0,72.0,56.0,32.0,18.0,2.0,2.0,21.0,3.0,129.0,87.0,63.0,26.0,18.0,3.0,3.0,35.0,1800.0,131.0,716.0
2009-339,Brisbane,20090104,Hard,103722,103507,6-3 7-6(3),3,R32,84.0,6.0,2.0,77.0,47.0,39.0,15.0,11.0,2.0,3.0,7.0,2.0,67.0,41.0,31.0,11.0,10.0,8.0,10.0,60.0,1324.0,52.0,1410.0
2009-339,Brisbane,20090104,Hard,103781,103888,6-4 4-6 7-6(4),3,R32,143.0,12.0,4.0,114.0,74.0,59.0,16.0,16.0,8.0,10.0,20.0,2.0,106.0,53.0,41.0,30.0,16.0,8.0,10.0,32.0,1878.0,22.0,2330.0
2009-339,Brisbane,20090104,Hard,103285,103857,6-2 6-2,3,R32,66.0,6.0,1.0,43.0,23.0,19.0,13.0,8.0,0.0,0.0,1.0,2.0,47.0,27.0,18.0,6.0,8.0,7.0,11.0,26.0,2260.0,45.0,1562.0
2009-339,Brisbane,20090104,Hard,103566,102512,5-7 7-6(3) 6-2,3,R32,145.0,13.0,3.0,101.0,70.0,57.0,12.0,16.0,3.0,5.0,9.0,0.0,94.0,41.0,31.0,28.0,16.0,4.0,7.0,54.0,1400.0,263.0,282.0
2009-339,Brisbane,20090104,Hard,103898,104068,3-6 6-3 7-5,3,R32,127.0,10.0,9.0,99.0,62.0,41.0,17.0,15.0,2.0,6.0,8.0,2.0,88.0,53.0,32.0,21.0,15.0,4.0,9.0,40.0,1608.0,49.0,1480.0
2009-339,Brisbane,20090104,Hard,104417,105023,6-3 6-3,3,R32,55.0,7.0,2.0,52.0,30.0,26.0,13.0,9.0,0.0,0.0,4.0,3.0,49.0,27.0,20.0,9.0,9.0,2.0,5.0,17.0,2650.0,36.0,1740.0
2009-339,Brisbane,20090104,Hard,104755,102967,4-6 6-2 6-2,3,R32,133.0,6.0,5.0,91.0,42.0,29.0,26.0,13.0,3.0,5.0,7.0,6.0,100.0,45.0,30.0,23.0,13.0,13.0,18.0,23.0,2320.0,50.0,1428.0
2009-339,Brisbane,20090104,Hard,103758,104327,7-6(0) 6-2,3,R32,86.0,8.0,5.0,68.0,37.0,31.0,13.0,10.0,6.0,8.0,4.0,2.0,70.0,46.0,24.0,14.0,10.0,1.0,5.0,865.0,28.0,59.0,1362.0
2009-339,Brisbane,20090104,Hard,103813,104571,5-7 6-1 6-4,3,R32,124.0,2.0,2.0,89.0,64.0,42.0,15.0,15.0,2.0,5.0,5.0,11.0,91.0,45.0,34.0,18.0,14.0,6.0,11.0,41.0,1600.0,96.0,950.0
2009-339,Brisbane,20090104,Hard,104542,102860,6-2 7-5,3,R32,93.0,3.0,1.0,56.0,38.0,28.0,12.0,10.0,0.0,1.0,2.0,7.0,82.0,41.0,24.0,20.0,10.0,7.0,11.0,7.0,3950.0,62.0,1250.0
2009-339,Brisbane,20090104,Hard,103908,105208,6-3 6-4,3,R16,81.0,6.0,3.0,61.0,28.0,22.0,23.0,10.0,4.0,4.0,9.0,1.0,49.0,34.0,26.0,6.0,9.0,1.0,3.0,31.0,2000.0,53.0,1408.0
2009-339,Brisbane,20090104,Hard,105453,104607,7-6(7) 6-3,3,R16,100.0,5.0,1.0,72.0,39.0,30.0,21.0,11.0,4.0,5.0,6.0,1.0,72.0,44.0,29.0,16.0,10.0,2.0,4.0,61.0,1280.0,20.0,2430.0
2009-339,Brisbane,20090104,Hard,104269,104339,6-2 6-3,3,R16,79.0,6.0,1.0,53.0,39.0,33.0,8.0,9.0,5.0,5.0,2.0,0.0,55.0,33.0,20.0,11.0,8.0,2.0,5.0,15.0,2830.0,35.0,1800.0
2009-339,Brisbane,20090104,Hard,103722,103781,6-4 6-3,3,R16,71.0,4.0,2.0,63.0,32.0,21.0,20.0,10.0,4.0,5.0,7.0,3.0,53.0,28.0,20.0,11.0,9.0,1.0,4.0,60.0,1324.0,32.0,1878.0
2009-339,Brisbane,20090104,Hard,103285,103566,7-6(2) 6-3,3,R16,93.0,6.0,3.0,71.0,38.0,35.0,18.0,11.0,2.0,2.0,5.0,3.0,67.0,43.0,33.0,10.0,10.0,3.0,4.0,26.0,2260.0,54.0,1400.0
2009-339,Brisbane,20090104,Hard,104417,103898,6-3 6-3,3,R16,66.0,6.0,1.0,48.0,25.0,21.0,14.0,9.0,3.0,4.0,4.0,2.0,55.0,36.0,20.0,8.0,9.0,2.0,6.0,17.0,2650.0,40.0,1608.0
2009-339,Brisbane,20090104,Hard,104755,103758,7-5 6-4,3,R16,80.0,9.0,2.0,60.0,39.0,32.0,11.0,11.0,4.0,5.0,4.0,7.0,70.0,41.0,31.0,10.0,11.0,2.0,5.0,23.0,2320.0,865.0,28.0
2009-339,Brisbane,20090104,Hard,104542,103813,0-6 7-6(1) 7-6(5),3,R16,135.0,9.0,2.0,95.0,62.0,45.0,15.0,15.0,1.0,5.0,0.0,0.0,101.0,69.0,44.0,19.0,15.0,5.0,6.0,7.0,3950.0,41.0,1600.0
2009-339,Brisbane,20090104,Hard,103908,105453,6-3 6-4,3,QF,87.0,6.0,3.0,63.0,43.0,29.0,13.0,10.0,4.0,5.0,4.0,4.0,64.0,34.0,21.0,16.0,9.0,2.0,5.0,31.0,2000.0,61.0,1280.0
