tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2015-339,Brisbane,20150104,Hard,105357,105733,6-3 6-1,3,R32,65.0,6.0,2.0,44.0,24.0,19.0,14.0,8.0,1.0,1.0,3.0,4.0,50.0,31.0,20.0,5.0,8.0,1.0,5.0,153.0,328.0,220.0,221.0
2015-339,Brisbane,20150104,Hard,103813,106045,4-6 6-1 6-4,3,R32,104.0,4.0,0.0,92.0,59.0,39.0,17.0,14.0,4.0,7.0,6.0,1.0,83.0,50.0,26.0,19.0,13.0,3.0,8.0,73.0,689.0,123.0,440.0
2015-339,Brisbane,20150104,Hard,105902,104468,6-2 6-2,3,R32,68.0,4.0,0.0,45.0,27.0,20.0,11.0,8.0,2.0,3.0,2.0,1.0,56.0,37.0,22.0,5.0,8.0,10.0,15.0,125.0,430.0,21.0,1730.0
2015-339,Brisbane,20150104,Hard,104871,104979,6-4 6-4,3,R32,69.0,7.0,1.0,53.0,39.0,31.0,11.0,10.0,0.0,0.0,9.0,2.0,57.0,38.0,30.0,8.0,10.0,1.0,3.0,31.0,1195.0,72.0,691.0
2015-339,Brisbane,20150104,Hard,105373,103781,6-7(5) 7-6(6) 6-1,3,R32,144.0,9.0,4.0,130.0,79.0,55.0,27.0,16.0,6.0,8.0,4.0,4.0,95.0,62.0,40.0,19.0,15.0,4.0,8.0,34.0,1094.0,110.0,505.0
2015-339,Brisbane,20150104,Hard,105238,104122,6-2 6-3,3,R32,78.0,6.0,1.0,49.0,31.0,24.0,12.0,9.0,3.0,4.0,3.0,2.0,78.0,53.0,32.0,8.0,8.0,11.0,15.0,23.0,1455.0,71.0,700.0
2015-339,Brisbane,20150104,Hard,103997,104731,7-6(3) 6-4,3,R32,110.0,6.0,5.0,78.0,51.0,35.0,14.0,11.0,3.0,5.0,12.0,3.0,76.0,43.0,30.0,17.0,11.0,4.0,7.0,177.0,282.0,16.0,2080.0
2015-339,Brisbane,20150104,Hard,105032,103720,6-3 6-2,3,R32,59.0,14.0,0.0,47.0,34.0,30.0,8.0,9.0,2.0,2.0,1.0,2.0,45.0,22.0,13.0,14.0,8.0,1.0,4.0,85.0,586.0,84.0,595.0
2015-339,Brisbane,20150104,Hard,105062,105657,6-4 4-6 6-4,3,R32,113.0,3.0,1.0,84.0,56.0,42.0,16.0,15.0,1.0,3.0,17.0,2.0,89.0,56.0,46.0,15.0,15.0,3.0,6.0,69.0,705.0,201.0,242.0
2015-339,Brisbane,20150104,Hard,106423,103898,6-4 6-3,3,R32,75.0,9.0,1.0,52.0,30.0,25.0,14.0,10.0,1.0,2.0,5.0,3.0,52.0,33.0,23.0,7.0,9.0,1.0,4.0,149.0,341.0,25.0,1365.0
2015-339,Brisbane,20150104,Hard,106071,105023,7-5 7-6(5),3,R32,83.0,5.0,0.0,77.0,46.0,36.0,21.0,12.0,4.0,5.0,20.0,3.0,70.0,42.0,35.0,14.0,12.0,4.0,6.0,53.0,797.0,35.0,1090.0
2015-339,Brisbane,20150104,Hard,105449,104594,2-6 7-6(0) 7-5,3,R32,136.0,14.0,3.0,95.0,58.0,45.0,24.0,16.0,4.0,6.0,10.0,5.0,106.0,68.0,51.0,19.0,16.0,3.0,4.0,37.0,999.0,77.0,657.0
2015-339,Brisbane,20150104,Hard,103819,105357,4-6 6-4 6-3,3,R16,122.0,8.0,3.0,85.0,50.0,37.0,19.0,14.0,9.0,11.0,2.0,2.0,112.0,72.0,44.0,20.0,15.0,9.0,13.0,2.0,9625.0,153.0,328.0
2015-339,Brisbane,20150104,Hard,105902,103813,4-6 7-6(5) 6-3,3,R16,123.0,16.0,3.0,114.0,66.0,51.0,24.0,16.0,7.0,9.0,5.0,0.0,92.0,60.0,45.0,19.0,15.0,4.0,6.0,125.0,430.0,73.0,689.0
2015-339,Brisbane,20150104,Hard,105777,104871,3-6 6-4 7-6(8),3,R16,148.0,10.0,3.0,107.0,64.0,46.0,23.0,16.0,5.0,7.0,9.0,6.0,126.0,78.0,60.0,20.0,15.0,12.0,13.0,11.0,3645.0,31.0,1195.0
2015-339,Brisbane,20150104,Hard,105373,105238,1-6 7-6(6) 7-6(7),3,R16,147.0,4.0,5.0,116.0,73.0,46.0,18.0,15.0,5.0,10.0,16.0,2.0,103.0,68.0,51.0,19.0,16.0,1.0,4.0,34.0,1094.0,23.0,1455.0
2015-339,Brisbane,20150104,Hard,105032,103997,6-4 6-7(2) 7-6(3),3,R16,148.0,21.0,2.0,111.0,80.0,62.0,19.0,17.0,2.0,2.0,14.0,5.0,112.0,75.0,58.0,22.0,17.0,6.0,7.0,85.0,586.0,177.0,282.0
2015-339,Brisbane,20150104,Hard,105683,105062,6-3 6-4,3,R16,61.0,17.0,4.0,48.0,31.0,28.0,12.0,10.0,0.0,0.0,1.0,1.0,54.0,32.0,22.0,12.0,9.0,2.0,4.0,8.0,4440.0,69.0,705.0
2015-339,Brisbane,20150104,Hard,106071,106423,7-6(2) 6-1,3,R16,79.0,8.0,1.0,72.0,51.0,38.0,12.0,10.0,0.0,0.0,7.0,3.0,61.0,32.0,23.0,14.0,9.0,3.0,5.0,53.0,797.0,149.0,341.0
2015-339,Brisbane,20150104,Hard,105453,105449,6-4 7-5,3,R16,81.0,7.0,1.0,67.0,45.0,34.0,16.0,11.0,2.0,2.0,6.0,1.0,61.0,33.0,24.0,17.0,11.0,1.0,3.0,5.0,5025.0,37.0,999.0
2015-339,Brisbane,20150104,Hard,103819,105902,6-0 6-1,3,QF,41.0,12.0,2.0,30.0,21.0,19.0,6.0,6.0,0.0,0.0,0.0,1.0,38.0,25.0,8.0,4.0,7.0,2.0,8.0,2.0,9625.0,125.0,430.0
2015-339,Brisbane,20150104,Hard,105777,105373,6-3 6-4,3,QF,73.0,7.0,2.0,57.0,34.0,26.0,12.0,10.0,1.0,3.0,3.0,1.0,53.0,37.0,24.0,5.0,9.0,1.0,5.0,11.0,3645.0,34.0,1094.0
2015-339,Brisbane,20150104,Hard,105683,105032,7-6(5) 3-6 7-6(2),3,QF,121.0,15.0,2.0,96.0,65.0,53.0,19.0,16.0,4.0,5.0,22.0,1.0,98.0,74.0,58.0,17.0,17.0,0.0,0.0,8.0,4440.0,85.0,586.0
2015-339,Brisbane,20150104,Hard,105453,106071,6-0 6-4,3,QF,59.0,5.0,1.0,38.0,26.0,24.0,8.0,8.0,0.0,0.0,10.0,2.0,68.0,41.0,26.0,10.0,8.0,12.0,16.0,5.0,5025.0,53.0,797.0
2015-339,Brisbane,20150104,Hard,103819,105777,6-2 6-2,3,SF,53.0,1.0,1.0,48.0,33.0,27.0,9.0,8.0,4.0,4.0,4.0,1.0,48.0,30.0,19.0,6.0,8.0,3.0,7.0,2.0,9625.0,11.0,3645.0
2015-339,Brisbane,20150104,Hard,105683,105453,6-7(4) 7-6(4) 7-6(4),3,SF,153.0,34.0,3.0,122.0,84.0,72.0,22.0,18.0,3.0,3.0,6.0,3.0,116.0,82.0,69.0,21.0,18.0,3.0,3.0,8.0,4440.0,5.0,5025.0
2015-339,Brisbane,20150104,Hard,103819,105683,6-4 6-7(2) 6-4,3,F,133.0,21.0,0.0,100.0,64.0,51.0,19.0,16.0,5.0,6.0,14.0,4.0,108.0,58.0,44.0,27.0,16.0,4.0,7.0,2.0,9625.0,8.0,4440.0
2015-891,Chennai,20150105,Hard,106432,104898,6-2 6-2,3,R32,66.0,4.0,1.0,48.0,26.0,21.0,12.0,8.0,4.0,5.0,1.0,0.0,46.0,27.0,14.0,5.0,8.0,2.0,7.0,95.0,557.0,80.0,620.0
2015-891,Chennai,20150105,Hard,111200,104997,6-4 4-6 6-3,3,R32,106.0,3.0,2.0,80.0,55.0,39.0,15.0,15.0,4.0,7.0,3.0,7.0,98.0,62.0,43.0,13.0,14.0,4.0,8.0,227.0,210.0,81.0,619.0
2015-891,Chennai,20150105,Hard,104180,104273,6-7(11) 6-1 7-6(3),3,R32,143.0,29.0,4.0,100.0,65.0,49.0,23.0,15.0,3.0,4.0,4.0,3.0,101.0,69.0,50.0,16.0,16.0,1.0,5.0,46.0,855.0,116.0,470.0
2015-891,Chennai,20150105,Hard,105575,104563,6-1 2-6 7-5,3,R32,109.0,4.0,3.0,76.0,46.0,33.0,16.0,13.0,3.0,6.0,11.0,1.0,81.0,46.0,30.0,17.0,14.0,2.0,7.0,83.0,605.0,148.0,353.0
2015-891,Chennai,20150105,Hard,106210,104822,6-2 6-1,3,R32,67.0,4.0,1.0,39.0,23.0,20.0,9.0,7.0,0.0,0.0,0.0,0.0,55.0,28.0,12.0,14.0,8.0,5.0,10.0,65.0,741.0,557.0,56.0
2015-891,Chennai,20150105,Hard,104890,104719,3-6 7-6(6) 2-0 RET,3,R32,134.0,3.0,4.0,91.0,43.0,32.0,22.0,12.0,6.0,9.0,5.0,2.0,74.0,38.0,29.0,19.0,11.0,4.0,6.0,79.0,621.0,55.0,790.0
2015-891,Chennai,20150105,Hard,104229,104500,6-3 6-4,3,R32,80.0,2.0,0.0,54.0,31.0,22.0,14.0,10.0,1.0,3.0,3.0,1.0,61.0,38.0,22.0,9.0,9.0,7.0,11.0,38.0,993.0,136.0,381.0
2015-891,Chennai,20150105,Hard,105807,105292,6-1 6-3,3,R32,60.0,1.0,1.0,46.0,23.0,20.0,12.0,8.0,3.0,4.0,2.0,2.0,45.0,24.0,12.0,7.0,8.0,3.0,8.0,49.0,841.0,109.0,507.0
2015-891,Chennai,20150105,Hard,105376,104268,6-0 6-1,3,R32,43.0,2.0,0.0,42.0,21.0,18.0,13.0,7.0,3.0,3.0,0.0,0.0,36.0,20.0,9.0,5.0,6.0,1.0,6.0,102.0,539.0,113.0,496.0
2015-891,Chennai,20150105,Hard,104198,105539,6-7(3) 6-2 6-3,3,R32,115.0,4.0,1.0,75.0,41.0,31.0,24.0,14.0,3.0,5.0,6.0,6.0,94.0,51.0,31.0,20.0,15.0,5.0,11.0,36.0,1020.0,129.0,421.0
2015-891,Chennai,20150105,Hard,105147,106368,6-3 6-3,3,R32,81.0,2.0,1.0,52.0,38.0,33.0,6.0,9.0,2.0,2.0,9.0,4.0,77.0,40.0,30.0,13.0,9.0,8.0,11.0,87.0,576.0,285.0,172.0
2015-891,Chennai,20150105,Hard,105379,105041,7-6(0) 6-3,3,R32,96.0,11.0,4.0,79.0,40.0,37.0,19.0,11.0,3.0,3.0,5.0,2.0,74.0,49.0,35.0,12.0,10.0,6.0,7.0,156.0,325.0,88.0,576.0
2015-891,Chennai,20150105,Hard,104527,106432,6-1 6-4,3,R16,71.0,4.0,1.0,48.0,26.0,24.0,12.0,9.0,0.0,0.0,2.0,0.0,54.0,28.0,18.0,11.0,8.0,5.0,8.0,4.0,5120.0,95.0,557.0
2015-891,Chennai,20150105,Hard,104180,111200,6-4 6-3,3,R16,80.0,6.0,2.0,68.0,37.0,31.0,16.0,10.0,7.0,7.0,2.0,3.0,46.0,35.0,30.0,1.0,9.0,0.0,2.0,46.0,855.0,227.0,210.0
2015-891,Chennai,20150105,Hard,105676,105575,6-0 4-6 7-6(1),3,R16,116.0,12.0,4.0,78.0,46.0,38.0,19.0,14.0,2.0,4.0,1.0,4.0,101.0,74.0,48.0,10.0,14.0,6.0,10.0,22.0,1599.0,83.0,605.0
2015-891,Chennai,20150105,Hard,104890,106210,6-7(3) 6-4 6-4,3,R16,126.0,13.0,7.0,97.0,67.0,49.0,18.0,16.0,3.0,4.0,14.0,4.0,100.0,67.0,53.0,13.0,16.0,2.0,5.0,79.0,621.0,65.0,741.0
