tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2001-339,Adelaide,20010101,Hard,103720,101885,6-4 6-3,3,R32,83.0,3.0,2.0,60.0,31.0,23.0,18.0,9.0,1.0,1.0,8.0,5.0,65.0,32.0,26.0,13.0,10.0,5.0,8.0,7.0,2625.0,83.0,513.0
2001-339,Adelaide,20010101,Hard,103451,101889,7-5 6-1,3,R32,81.0,5.0,5.0,69.0,34.0,24.0,22.0,9.0,7.0,7.0,1.0,3.0,66.0,35.0,21.0,16.0,10.0,0.0,4.0,208.0,184.0,187.0,204.0
2001-339,Adelaide,20010101,Hard,103598,102162,2-6 6-3 6-2,3,R32,96.0,5.0,2.0,79.0,41.0,27.0,23.0,13.0,9.0,12.0,5.0,6.0,70.0,43.0,30.0,12.0,12.0,4.0,8.0,127.0,307.0,67.0,590.0
2001-339,Adelaide,20010101,Hard,103163,102875,6-3 6-3,3,R32,64.0,2.0,1.0,48.0,30.0,25.0,12.0,9.0,1.0,1.0,3.0,5.0,50.0,27.0,15.0,13.0,9.0,3.0,6.0,23.0,1145.0,485.0,44.0
2001-339,Adelaide,20010101,Hard,101727,103206,6-3 6-2,3,R32,74.0,3.0,3.0,59.0,26.0,21.0,17.0,9.0,2.0,3.0,0.0,3.0,65.0,35.0,26.0,8.0,8.0,8.0,12.0,66.0,606.0,19.0,1325.0
2001-339,Adelaide,20010101,Hard,102834,103553,6-4 6-2,3,R32,66.0,0.0,1.0,49.0,30.0,23.0,12.0,9.0,1.0,2.0,1.0,3.0,47.0,26.0,14.0,11.0,9.0,0.0,4.0,81.0,517.0,442.0,51.0
2001-339,Adelaide,20010101,Hard,103252,102153,6-2 6-3,3,R32,56.0,3.0,2.0,42.0,26.0,23.0,7.0,8.0,0.0,1.0,0.0,4.0,57.0,30.0,18.0,10.0,9.0,1.0,6.0,79.0,518.0,92.0,451.0
2001-339,Adelaide,20010101,Hard,103294,102776,1-6 7-6(2) 7-5,3,R32,115.0,2.0,4.0,95.0,52.0,31.0,22.0,15.0,6.0,12.0,11.0,9.0,113.0,50.0,39.0,24.0,16.0,11.0,16.0,74.0,540.0,50.0,775.0
2001-339,Adelaide,20010101,Hard,102318,102925,6-2 6-2,3,R32,50.0,6.0,0.0,38.0,26.0,23.0,9.0,8.0,0.0,0.0,4.0,2.0,42.0,29.0,20.0,4.0,8.0,1.0,5.0,27.0,1105.0,97.0,420.0
2001-339,Adelaide,20010101,Hard,103344,102227,6-2 7-5,3,R32,66.0,9.0,2.0,55.0,25.0,22.0,19.0,10.0,0.0,0.0,2.0,1.0,49.0,32.0,23.0,8.0,10.0,1.0,4.0,91.0,484.0,94.0,433.0
2001-339,Adelaide,20010101,Hard,103454,103171,6-2 6-4,3,R32,83.0,6.0,1.0,60.0,36.0,24.0,11.0,9.0,5.0,7.0,5.0,4.0,71.0,44.0,26.0,9.0,9.0,12.0,17.0,87.0,496.0,95.0,433.0
2001-339,Adelaide,20010101,Hard,103096,102247,6-7(1) 6-0 6-3,3,R32,138.0,4.0,1.0,106.0,57.0,34.0,25.0,14.0,11.0,14.0,3.0,12.0,89.0,36.0,25.0,21.0,13.0,5.0,12.0,18.0,1360.0,101.0,404.0
2001-339,Adelaide,20010101,Hard,102563,102456,7-6(4) 6-2,3,R32,89.0,7.0,3.0,62.0,30.0,25.0,18.0,10.0,6.0,7.0,2.0,5.0,64.0,36.0,25.0,11.0,10.0,0.0,3.0,39.0,930.0,99.0,410.0
2001-339,Adelaide,20010101,Hard,102652,102880,7-6(5) 6-4,3,R32,100.0,2.0,2.0,92.0,62.0,41.0,16.0,11.0,6.0,7.0,3.0,3.0,80.0,43.0,30.0,19.0,11.0,8.0,10.0,102.0,398.0,86.0,500.0
2001-339,Adelaide,20010101,Hard,101543,102306,6-3 7-6(4),3,R32,74.0,2.0,1.0,69.0,50.0,38.0,11.0,11.0,5.0,6.0,5.0,1.0,73.0,58.0,35.0,8.0,10.0,3.0,5.0,112.0,349.0,217.0,170.0
2001-339,Adelaide,20010101,Hard,102450,102257,6-2 7-6(4),3,R32,81.0,2.0,1.0,60.0,44.0,37.0,10.0,10.0,0.0,0.0,11.0,5.0,73.0,33.0,27.0,18.0,10.0,6.0,8.0,10.0,2020.0,69.0,575.0
2001-339,Adelaide,20010101,Hard,103720,103451,6-7(5) 6-4 6-0,3,R16,139.0,11.0,7.0,101.0,42.0,36.0,26.0,14.0,7.0,9.0,4.0,5.0,98.0,40.0,31.0,20.0,14.0,7.0,13.0,7.0,2625.0,208.0,184.0
2001-339,Adelaide,20010101,Hard,103163,103598,7-5 6-3,3,R16,76.0,3.0,4.0,59.0,31.0,28.0,13.0,11.0,0.0,1.0,1.0,3.0,64.0,37.0,22.0,14.0,10.0,5.0,8.0,23.0,1145.0,127.0,307.0
2001-339,Adelaide,20010101,Hard,101727,102834,6-2 6-2,3,R16,64.0,8.0,0.0,39.0,20.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,61.0,41.0,23.0,7.0,8.0,4.0,8.0,66.0,606.0,81.0,517.0
2001-339,Adelaide,20010101,Hard,103252,103294,3-6 7-6(5) 7-5,3,R16,134.0,4.0,7.0,106.0,59.0,39.0,24.0,16.0,9.0,14.0,4.0,4.0,100.0,55.0,38.0,23.0,17.0,7.0,12.0,79.0,518.0,74.0,540.0
2001-339,Adelaide,20010101,Hard,103344,102318,3-6 7-5 6-4,3,R16,121.0,14.0,4.0,98.0,44.0,37.0,26.0,16.0,5.0,8.0,2.0,5.0,84.0,36.0,31.0,24.0,15.0,4.0,7.0,91.0,484.0,27.0,1105.0
2001-339,Adelaide,20010101,Hard,103454,103096,6-2 6-2,3,R16,67.0,4.0,0.0,42.0,22.0,18.0,15.0,8.0,1.0,1.0,1.0,2.0,42.0,25.0,14.0,8.0,8.0,1.0,5.0,87.0,496.0,18.0,1360.0
2001-339,Adelaide,20010101,Hard,102563,102652,7-5 6-3,3,R16,92.0,6.0,2.0,70.0,38.0,27.0,16.0,10.0,6.0,8.0,1.0,5.0,81.0,49.0,25.0,16.0,11.0,8.0,13.0,39.0,930.0,102.0,398.0
