tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2006-339,Adelaide,20060102,Hard,103720,103401,4-6 6-2 6-4,3,R32,116.0,5.0,4.0,89.0,51.0,36.0,15.0,14.0,6.0,11.0,1.0,0.0,103.0,69.0,40.0,12.0,14.0,9.0,16.0,4.0,2490.0,74.0,515.0
2006-339,Adelaide,20060102,Hard,104259,104589,6-4 6-3,3,R32,76.0,4.0,1.0,49.0,28.0,22.0,14.0,9.0,2.0,3.0,14.0,5.0,84.0,49.0,30.0,14.0,10.0,12.0,16.0,86.0,470.0,156.0,265.0
2006-339,Adelaide,20060102,Hard,104918,103893,3-6 6-0 6-2,3,R32,88.0,7.0,6.0,70.0,44.0,29.0,13.0,11.0,5.0,8.0,0.0,1.0,75.0,40.0,17.0,17.0,12.0,5.0,12.0,64.0,571.0,252.0,138.0
2006-339,Adelaide,20060102,Hard,104607,102860,6-4 6-7(5) 6-4,3,R32,138.0,5.0,5.0,103.0,53.0,43.0,29.0,16.0,4.0,5.0,13.0,9.0,110.0,58.0,43.0,27.0,16.0,5.0,8.0,24.0,1200.0,51.0,692.0
2006-339,Adelaide,20060102,Hard,104339,103096,6-0 6-2,3,R32,59.0,7.0,0.0,36.0,23.0,21.0,8.0,7.0,2.0,2.0,1.0,1.0,45.0,23.0,15.0,4.0,7.0,4.0,9.0,21.0,1360.0,69.0,558.0
2006-339,Adelaide,20060102,Hard,103598,103429,7-6(11) 6-3,3,R32,105.0,17.0,4.0,95.0,54.0,44.0,17.0,11.0,14.0,16.0,5.0,2.0,73.0,40.0,29.0,15.0,10.0,6.0,9.0,47.0,731.0,146.0,286.0
2006-339,Adelaide,20060102,Hard,104312,104081,6-4 6-4,3,R32,70.0,8.0,2.0,57.0,36.0,29.0,11.0,10.0,2.0,3.0,3.0,4.0,58.0,33.0,24.0,11.0,10.0,5.0,8.0,68.0,562.0,82.0,498.0
2006-339,Adelaide,20060102,Hard,103484,103252,6-3 6-3,3,R32,65.0,4.0,0.0,51.0,25.0,21.0,13.0,9.0,3.0,5.0,3.0,6.0,60.0,33.0,21.0,8.0,9.0,6.0,11.0,23.0,1230.0,50.0,711.0
2006-339,Adelaide,20060102,Hard,103813,103908,6-2 7-6(5),3,R32,92.0,3.0,2.0,78.0,52.0,36.0,14.0,10.0,5.0,6.0,4.0,5.0,66.0,35.0,27.0,13.0,10.0,5.0,8.0,28.0,1045.0,46.0,738.0
2006-339,Adelaide,20060102,Hard,104252,104338,6-2 6-4,3,R32,73.0,2.0,3.0,45.0,25.0,22.0,11.0,9.0,1.0,2.0,1.0,0.0,67.0,42.0,24.0,11.0,9.0,5.0,9.0,72.0,519.0,85.0,477.0
2006-339,Adelaide,20060102,Hard,103722,103566,3-6 3-1 RET,3,R32,70.0,3.0,2.0,40.0,31.0,19.0,5.0,6.0,2.0,4.0,1.0,1.0,48.0,30.0,16.0,11.0,7.0,3.0,5.0,49.0,712.0,137.0,303.0
2006-339,Adelaide,20060102,Hard,103990,103781,7-5 6-4,3,R32,83.0,2.0,3.0,59.0,27.0,23.0,23.0,11.0,0.0,0.0,1.0,4.0,79.0,41.0,32.0,17.0,11.0,4.0,6.0,19.0,1490.0,52.0,690.0
2006-339,Adelaide,20060102,Hard,103333,103428,6-3 3-6 6-1,3,R32,104.0,13.0,2.0,79.0,46.0,37.0,16.0,13.0,1.0,2.0,3.0,3.0,80.0,48.0,33.0,16.0,12.0,5.0,8.0,70.0,550.0,39.0,815.0
2006-339,Adelaide,20060102,Hard,102202,102571,5-7 7-5 6-3,3,R32,127.0,7.0,2.0,96.0,65.0,52.0,17.0,16.0,6.0,7.0,18.0,9.0,104.0,60.0,46.0,21.0,17.0,3.0,6.0,66.0,565.0,167.0,233.0
2006-339,Adelaide,20060102,Hard,102882,102434,6-4 3-6 6-4,3,R32,121.0,14.0,2.0,94.0,53.0,36.0,21.0,15.0,6.0,10.0,4.0,3.0,95.0,55.0,37.0,18.0,14.0,6.0,10.0,172.0,228.0,75.0,515.0
2006-339,Adelaide,20060102,Hard,103103,103782,6-3 7-5,3,R32,71.0,6.0,5.0,63.0,37.0,26.0,15.0,11.0,3.0,5.0,2.0,5.0,58.0,33.0,23.0,9.0,10.0,2.0,6.0,18.0,1490.0,413.0,67.0
2006-339,Adelaide,20060102,Hard,104259,103720,6-3 0-6 7-5,3,R16,115.0,4.0,0.0,91.0,42.0,22.0,31.0,14.0,4.0,8.0,7.0,4.0,80.0,48.0,35.0,17.0,13.0,5.0,8.0,86.0,470.0,4.0,2490.0
2006-339,Adelaide,20060102,Hard,104607,104918,7-6(2) 4-6 6-1,3,R16,127.0,5.0,5.0,94.0,56.0,42.0,18.0,14.0,0.0,2.0,5.0,3.0,106.0,54.0,39.0,22.0,15.0,10.0,14.0,24.0,1200.0,64.0,571.0
2006-339,Adelaide,20060102,Hard,103598,104339,3-6 6-3 7-6(8),3,R16,147.0,6.0,1.0,93.0,56.0,40.0,18.0,15.0,4.0,8.0,5.0,5.0,100.0,54.0,35.0,25.0,15.0,5.0,9.0,47.0,731.0,21.0,1360.0
2006-339,Adelaide,20060102,Hard,104312,103484,3-6 6-3 6-4,3,R16,113.0,5.0,2.0,111.0,79.0,48.0,19.0,14.0,12.0,14.0,4.0,2.0,87.0,45.0,33.0,21.0,14.0,6.0,9.0,68.0,562.0,23.0,1230.0
2006-339,Adelaide,20060102,Hard,103813,104252,7-6(1) 7-5,3,R16,78.0,2.0,1.0,69.0,43.0,32.0,15.0,12.0,0.0,3.0,4.0,0.0,69.0,36.0,24.0,18.0,12.0,2.0,6.0,28.0,1045.0,72.0,519.0
2006-339,Adelaide,20060102,Hard,103722,103990,7-6(4) 3-6 6-3,3,R16,129.0,0.0,2.0,105.0,67.0,47.0,18.0,15.0,6.0,9.0,5.0,3.0,100.0,57.0,41.0,21.0,15.0,10.0,13.0,49.0,712.0,19.0,1490.0
2006-339,Adelaide,20060102,Hard,102202,103333,2-6 7-6(5) 6-4,3,R16,117.0,4.0,5.0,86.0,54.0,43.0,17.0,15.0,1.0,3.0,24.0,2.0,84.0,56.0,45.0,19.0,15.0,2.0,3.0,66.0,565.0,70.0,550.0
2006-339,Adelaide,20060102,Hard,103103,102882,3-6 6-4 6-1,3,R16,111.0,4.0,6.0,89.0,54.0,39.0,16.0,13.0,6.0,9.0,5.0,1.0,85.0,41.0,26.0,21.0,13.0,7.0,12.0,18.0,1490.0,172.0,228.0
2006-339,Adelaide,20060102,Hard,104607,104259,6-1 6-4,3,QF,55.0,5.0,2.0,50.0,28.0,24.0,13.0,9.0,0.0,0.0,2.0,2.0,47.0,30.0,19.0,7.0,8.0,3.0,6.0,24.0,1200.0,86.0,470.0
2006-339,Adelaide,20060102,Hard,103598,104312,6-0 6-1,3,QF,48.0,6.0,0.0,29.0,19.0,16.0,8.0,6.0,0.0,0.0,2.0,2.0,50.0,27.0,16.0,2.0,7.0,7.0,13.0,47.0,731.0,68.0,562.0
2006-339,Adelaide,20060102,Hard,103722,103813,6-4 6-7(4) 6-2,3,QF,118.0,4.0,2.0,98.0,63.0,45.0,18.0,15.0,4.0,6.0,1.0,5.0,95.0,57.0,37.0,16.0,15.0,1.0,6.0,49.0,712.0,28.0,1045.0
2006-339,Adelaide,20060102,Hard,103103,102202,7-5 6-3,3,QF,86.0,4.0,5.0,72.0,46.0,33.0,14.0,10.0,7.0,8.0,4.0,3.0,70.0,41.0,26.0,12.0,11.0,3.0,7.0,18.0,1490.0,66.0,565.0
2006-339,Adelaide,20060102,Hard,103598,104607,6-4 6-0,3,SF,61.0,5.0,2.0,58.0,29.0,19.0,17.0,8.0,4.0,5.0,2.0,2.0,41.0,21.0,12.0,4.0,8.0,0.0,5.0,47.0,731.0,24.0,1200.0
2006-339,Adelaide,20060102,Hard,103722,103103,6-3 6-3,3,SF,76.0,4.0,4.0,66.0,38.0,25.0,16.0,9.0,7.0,8.0,1.0,6.0,60.0,33.0,17.0,12.0,9.0,4.0,8.0,49.0,712.0,18.0,1490.0
2006-339,Adelaide,20060102,Hard,103722,103598,6-3 6-4,3,F,71.0,7.0,0.0,63.0,41.0,30.0,14.0,10.0,6.0,6.0,12.0,1.0,64.0,41.0,26.0,11.0,9.0,3.0,5.0,49.0,712.0,47.0,731.0
2006-891,Chennai,20060102,Hard,103344,104198,7-6(6) 7-5,3,R32,130.0,13.0,3.0,86.0,58.0,41.0,15.0,12.0,6.0,8.0,6.0,8.0,104.0,70.0,46.0,14.0,12.0,3.0,6.0,9.0,2180.0,91.0,460.0
2006-891,Chennai,20060102,Hard,103181,102885,6-3 6-1,3,R32,58.0,3.0,0.0,44.0,30.0,24.0,7.0,8.0,4.0,5.0,2.0,6.0,53.0,24.0,15.0,9.0,8.0,0.0,5.0,99.0,424.0,526.0,43.0
2006-891,Chennai,20060102,Hard,103523,102642,6-3 6-3,3,R32,55.0,7.0,3.0,58.0,38.0,29.0,11.0,9.0,3.0,3.0,3.0,3.0,45.0,28.0,21.0,8.0,9.0,0.0,3.0,266.0,128.0,90.0,460.0
2006-891,Chennai,20060102,Hard,104180,103009,6-2 7-6(5),3,R32,73.0,13.0,6.0,57.0,32.0,29.0,10.0,10.0,1.0,4.0,1.0,10.0,66.0,32.0,25.0,11.0,10.0,4.0,9.0,76.0,506.0,112.0,398.0
2006-891,Chennai,20060102,Hard,103387,102887,4-6 6-1 7-6(3),3,R32,136.0,11.0,2.0,90.0,51.0,41.0,23.0,15.0,1.0,2.0,6.0,2.0,113.0,65.0,46.0,23.0,14.0,11.0,13.0,42.0,785.0,132.0,332.0
2006-891,Chennai,20060102,Hard,102967,102703,7-5 6-4,3,R32,94.0,6.0,1.0,72.0,39.0,25.0,13.0,11.0,2.0,6.0,1.0,1.0,65.0,35.0,18.0,15.0,11.0,7.0,13.0,123.0,366.0,107.0,406.0
2006-891,Chennai,20060102,Hard,104019,104499,6-3 6-2,3,R32,70.0,7.0,2.0,49.0,36.0,25.0,7.0,8.0,5.0,6.0,4.0,6.0,66.0,32.0,20.0,13.0,9.0,4.0,9.0,93.0,442.0,100.0,423.0
2006-891,Chennai,20060102,Hard,102783,102950,6-4 6-3,3,R32,78.0,1.0,3.0,58.0,41.0,27.0,8.0,10.0,4.0,7.0,4.0,3.0,52.0,30.0,17.0,8.0,9.0,3.0,8.0,88.0,463.0,110.0,400.0
