tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2013-339,Brisbane,20121230,Hard,105357,105147,6-4 6-1,3,R32,86.0,7.0,6.0,69.0,44.0,33.0,11.0,9.0,3.0,4.0,2.0,5.0,53.0,26.0,19.0,8.0,8.0,3.0,7.0,199.0,239.0,79.0,655.0
2013-339,Brisbane,20121230,Hard,103720,103857,6-3 4-6 6-2,3,R32,124.0,8.0,2.0,69.0,34.0,29.0,21.0,13.0,1.0,2.0,7.0,5.0,99.0,53.0,37.0,19.0,14.0,6.0,10.0,83.0,625.0,162.0,339.0
2013-339,Brisbane,20121230,Hard,104797,105373,6-1 6-2,3,R32,70.0,6.0,2.0,53.0,33.0,28.0,8.0,8.0,2.0,2.0,3.0,3.0,57.0,31.0,19.0,9.0,7.0,9.0,13.0,43.0,897.0,30.0,1175.0
2013-339,Brisbane,20121230,Hard,103813,103898,6-3 2-6 6-1,3,R32,104.0,4.0,1.0,94.0,63.0,40.0,15.0,12.0,8.0,11.0,6.0,6.0,70.0,48.0,29.0,7.0,12.0,1.0,6.0,41.0,927.0,35.0,1075.0
2013-339,Brisbane,20121230,Hard,103990,105992,6-4 7-6(4),3,R32,96.0,6.0,0.0,64.0,50.0,43.0,8.0,11.0,1.0,1.0,4.0,1.0,68.0,39.0,26.0,20.0,11.0,0.0,1.0,114.0,495.0,69.0,710.0
2013-339,Brisbane,20121230,Hard,105453,104594,7-5 6-2,3,R32,102.0,2.0,0.0,72.0,45.0,29.0,17.0,10.0,4.0,5.0,3.0,1.0,70.0,37.0,25.0,13.0,10.0,3.0,7.0,19.0,1830.0,49.0,845.0
2013-339,Brisbane,20121230,Hard,104252,105053,6-4 6-4,3,R32,65.0,6.0,1.0,50.0,33.0,27.0,14.0,10.0,0.0,0.0,3.0,0.0,54.0,40.0,30.0,7.0,10.0,0.0,2.0,28.0,1215.0,57.0,778.0
2013-339,Brisbane,20121230,Hard,104571,106093,6-4 6-4,3,R32,77.0,5.0,1.0,60.0,35.0,30.0,14.0,10.0,4.0,4.0,5.0,1.0,57.0,35.0,28.0,10.0,10.0,0.0,2.0,36.0,1070.0,327.0,137.0
2013-339,Brisbane,20121230,Hard,104268,105028,6-1 7-6(8),3,R32,78.0,11.0,1.0,59.0,46.0,40.0,8.0,10.0,0.0,0.0,5.0,2.0,74.0,45.0,29.0,16.0,9.0,8.0,10.0,54.0,809.0,104.0,530.0
2013-339,Brisbane,20121230,Hard,103781,106045,2-6 6-4 6-4,3,R32,107.0,5.0,1.0,78.0,55.0,40.0,12.0,14.0,3.0,6.0,3.0,3.0,91.0,48.0,37.0,20.0,14.0,4.0,7.0,29.0,1177.0,137.0,402.0
2013-339,Brisbane,20121230,Hard,105676,105051,6-2 6-2,3,R32,55.0,2.0,2.0,43.0,28.0,22.0,11.0,8.0,2.0,2.0,1.0,4.0,40.0,18.0,9.0,11.0,8.0,0.0,4.0,46.0,868.0,105.0,529.0
