tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2008-339,Adelaide,20071231,Hard,103720,104534,6-2 6-2,3,R32,66.0,7.0,2.0,46.0,29.0,26.0,8.0,8.0,3.0,3.0,5.0,2.0,59.0,37.0,22.0,8.0,8.0,7.0,11.0,21.0,1365.0,64.0,573.0
2008-339,Adelaide,20071231,Hard,104076,104268,6-3 7-6(3),3,R32,101.0,8.0,4.0,76.0,40.0,31.0,14.0,11.0,8.0,12.0,2.0,1.0,68.0,40.0,21.0,14.0,10.0,5.0,10.0,65.0,566.0,81.0,481.0
2008-339,Adelaide,20071231,Hard,105208,104979,6-7(9) 6-4 6-2,3,R32,138.0,7.0,6.0,133.0,80.0,59.0,22.0,15.0,14.0,16.0,6.0,4.0,109.0,63.0,43.0,20.0,15.0,3.0,8.0,61.0,585.0,177.0,239.0
2008-339,Adelaide,20071231,Hard,104542,103812,6-3 4-6 7-5,3,R32,120.0,11.0,6.0,84.0,46.0,38.0,21.0,16.0,3.0,6.0,1.0,0.0,93.0,56.0,39.0,19.0,15.0,3.0,7.0,43.0,714.0,76.0,517.0
2008-339,Adelaide,20071231,Hard,103813,103657,6-2 6-4,3,R32,66.0,1.0,1.0,48.0,34.0,24.0,10.0,9.0,0.0,1.0,3.0,2.0,65.0,40.0,25.0,9.0,9.0,1.0,5.0,27.0,995.0,224.0,184.0
2008-339,Adelaide,20071231,Hard,104433,104620,6-2 7-6(3),3,R32,77.0,4.0,0.0,73.0,39.0,30.0,22.0,10.0,5.0,5.0,8.0,2.0,65.0,43.0,29.0,12.0,10.0,3.0,5.0,72.0,521.0,67.0,541.0
2008-339,Adelaide,20071231,Hard,104999,104252,6-3 6-3,3,R32,56.0,2.0,0.0,50.0,29.0,26.0,11.0,9.0,0.0,0.0,0.0,4.0,51.0,32.0,20.0,9.0,9.0,0.0,3.0,88.0,468.0,55.0,611.0
2008-339,Adelaide,20071231,Hard,102434,103206,4-6 6-1 6-3,3,R32,115.0,6.0,3.0,84.0,46.0,31.0,18.0,13.0,5.0,9.0,6.0,5.0,83.0,47.0,33.0,11.0,13.0,3.0,10.0,77.0,515.0,53.0,621.0
2008-339,Adelaide,20071231,Hard,103188,105223,6-3 6-3,3,R32,92.0,6.0,0.0,64.0,48.0,34.0,8.0,9.0,5.0,6.0,7.0,9.0,66.0,33.0,20.0,13.0,9.0,9.0,13.0,82.0,481.0,44.0,690.0
2008-339,Adelaide,20071231,Hard,103794,104635,3-6 6-4 6-2,3,R32,107.0,11.0,4.0,80.0,38.0,31.0,24.0,13.0,1.0,2.0,11.0,6.0,90.0,53.0,35.0,21.0,14.0,8.0,11.0,84.0,476.0,150.0,286.0
2008-339,Adelaide,20071231,Hard,105095,103553,6-2 7-6(7),3,R32,82.0,7.0,0.0,65.0,36.0,31.0,16.0,10.0,3.0,3.0,4.0,2.0,67.0,49.0,31.0,12.0,10.0,3.0,5.0,80.0,487.0,131.0,338.0
2008-339,Adelaide,20071231,Hard,103566,104468,7-6(3) 6-3,3,R32,89.0,1.0,1.0,66.0,41.0,33.0,18.0,11.0,3.0,4.0,7.0,4.0,72.0,44.0,32.0,13.0,10.0,4.0,6.0,93.0,460.0,29.0,955.0
2008-339,Adelaide,20071231,Hard,102512,103285,7-6(3) 4-3 RET,3,R32,99.0,8.0,2.0,67.0,35.0,27.0,17.0,9.0,3.0,4.0,8.0,3.0,61.0,35.0,25.0,16.0,10.0,3.0,5.0,195.0,218.0,30.0,930.0
2008-339,Adelaide,20071231,Hard,105023,104327,7-5 6-4,3,R32,80.0,11.0,2.0,61.0,32.0,26.0,14.0,11.0,1.0,3.0,0.0,6.0,77.0,55.0,34.0,10.0,11.0,7.0,11.0,63.0,573.0,86.0,474.0
2008-339,Adelaide,20071231,Hard,104589,104639,7-5 7-6(5),3,R32,86.0,23.0,4.0,72.0,40.0,35.0,21.0,12.0,2.0,2.0,5.0,1.0,74.0,43.0,31.0,23.0,12.0,4.0,5.0,91.0,462.0,126.0,357.0
2008-339,Adelaide,20071231,Hard,103908,103898,7-6(2) 7-5,3,R32,141.0,8.0,3.0,94.0,49.0,36.0,22.0,12.0,8.0,11.0,7.0,5.0,84.0,51.0,33.0,14.0,12.0,5.0,9.0,25.0,1320.0,68.0,540.0
2008-339,Adelaide,20071231,Hard,103720,104076,6-2 6-2,3,R16,61.0,8.0,3.0,43.0,14.0,13.0,21.0,8.0,1.0,1.0,0.0,4.0,46.0,21.0,13.0,9.0,8.0,4.0,8.0,21.0,1365.0,65.0,566.0
2008-339,Adelaide,20071231,Hard,104542,105208,6-3 6-2,3,R16,62.0,10.0,1.0,52.0,33.0,29.0,11.0,9.0,3.0,3.0,3.0,3.0,60.0,40.0,24.0,7.0,8.0,4.0,7.0,43.0,714.0,61.0,585.0
2008-339,Adelaide,20071231,Hard,103813,104433,6-4 6-1,3,R16,57.0,2.0,0.0,52.0,31.0,24.0,13.0,8.0,3.0,3.0,5.0,2.0,52.0,32.0,22.0,6.0,9.0,3.0,7.0,27.0,995.0,72.0,521.0
2008-339,Adelaide,20071231,Hard,102434,104999,6-3 7-5,3,R16,80.0,2.0,3.0,74.0,46.0,33.0,14.0,11.0,4.0,5.0,2.0,1.0,65.0,50.0,33.0,6.0,10.0,4.0,7.0,77.0,515.0,88.0,468.0
2008-339,Adelaide,20071231,Hard,103794,103188,6-4 6-4,3,R16,80.0,8.0,1.0,58.0,35.0,29.0,12.0,10.0,4.0,5.0,3.0,2.0,61.0,37.0,27.0,12.0,10.0,4.0,7.0,84.0,476.0,82.0,481.0
2008-339,Adelaide,20071231,Hard,103566,105095,7-6(3) 6-3,3,R16,83.0,14.0,5.0,64.0,41.0,36.0,14.0,10.0,6.0,6.0,1.0,2.0,72.0,42.0,31.0,16.0,11.0,1.0,3.0,93.0,460.0,80.0,487.0
2008-339,Adelaide,20071231,Hard,102512,105023,6-7(5) 6-2 6-3,3,R16,109.0,4.0,2.0,92.0,50.0,42.0,24.0,15.0,4.0,5.0,18.0,1.0,94.0,59.0,41.0,16.0,14.0,4.0,8.0,195.0,218.0,63.0,573.0
2008-339,Adelaide,20071231,Hard,103908,104589,4-6 6-3 6-4,3,R16,93.0,9.0,4.0,78.0,41.0,35.0,24.0,15.0,2.0,3.0,24.0,2.0,69.0,46.0,37.0,13.0,14.0,1.0,3.0,25.0,1320.0,91.0,462.0
2008-339,Adelaide,20071231,Hard,104542,103720,6-4 6-2,3,QF,80.0,14.0,3.0,64.0,41.0,29.0,10.0,9.0,5.0,6.0,0.0,3.0,52.0,26.0,14.0,14.0,9.0,3.0,7.0,43.0,714.0,21.0,1365.0
