tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2005-339,Adelaide,20050103,Hard,103720,103096,2-6 6-1 6-1,3,R32,93.0,8.0,1.0,56.0,33.0,26.0,13.0,11.0,0.0,2.0,5.0,3.0,90.0,54.0,29.0,17.0,11.0,9.0,14.0,3.0,3590.0,106.0,413.0
2005-339,Adelaide,20050103,Hard,102860,103813,6-4 3-6 7-6(2),3,R32,118.0,5.0,6.0,97.0,53.0,36.0,23.0,15.0,5.0,9.0,2.0,3.0,101.0,64.0,41.0,19.0,16.0,2.0,6.0,58.0,685.0,77.0,519.0
2005-339,Adelaide,20050103,Hard,103898,103808,6-3 6-4,3,R32,72.0,1.0,0.0,64.0,48.0,32.0,7.0,10.0,2.0,5.0,3.0,4.0,49.0,40.0,20.0,3.0,9.0,4.0,9.0,65.0,593.0,76.0,522.0
2005-339,Adelaide,20050103,Hard,103758,104068,6-1 2-6 6-2,3,R32,96.0,3.0,9.0,80.0,42.0,32.0,18.0,11.0,8.0,10.0,0.0,6.0,81.0,51.0,29.0,11.0,12.0,9.0,14.0,32.0,955.0,63.0,625.0
2005-339,Adelaide,20050103,Hard,103428,102227,6-1 6-1,3,R32,57.0,4.0,1.0,36.0,27.0,23.0,6.0,7.0,0.0,0.0,3.0,3.0,59.0,40.0,19.0,7.0,7.0,9.0,14.0,26.0,1135.0,75.0,525.0
2005-339,Adelaide,20050103,Hard,103444,103063,6-4 7-6(4),3,R32,110.0,2.0,6.0,77.0,39.0,31.0,20.0,11.0,1.0,2.0,1.0,4.0,78.0,48.0,32.0,15.0,11.0,5.0,7.0,132.0,334.0,220.0,183.0
2005-339,Adelaide,20050103,Hard,104025,104379,3-6 7-5 6-2,3,R32,94.0,9.0,4.0,78.0,40.0,31.0,23.0,14.0,6.0,8.0,2.0,1.0,104.0,78.0,45.0,16.0,15.0,11.0,15.0,173.0,251.0,126.0,354.0
2005-339,Adelaide,20050103,Hard,103781,104607,6-4 4-6 6-3,3,R32,122.0,6.0,3.0,111.0,63.0,44.0,24.0,15.0,5.0,8.0,11.0,8.0,99.0,60.0,40.0,17.0,14.0,12.0,16.0,39.0,920.0,45.0,863.0
2005-339,Adelaide,20050103,Hard,103285,104259,6-3 6-4,3,R32,84.0,2.0,3.0,49.0,25.0,21.0,12.0,10.0,0.0,2.0,0.0,4.0,70.0,51.0,32.0,5.0,9.0,4.0,8.0,33.0,950.0,88.0,466.0
2005-339,Adelaide,20050103,Hard,103694,102179,3-6 6-3 6-1,3,R32,95.0,3.0,3.0,64.0,37.0,29.0,16.0,12.0,3.0,5.0,10.0,3.0,95.0,62.0,41.0,10.0,13.0,7.0,12.0,66.0,585.0,79.0,503.0
2005-339,Adelaide,20050103,Hard,102642,103385,6-2 7-6(3),3,R32,84.0,9.0,1.0,55.0,35.0,30.0,14.0,10.0,0.0,0.0,7.0,1.0,67.0,42.0,26.0,15.0,10.0,3.0,5.0,53.0,748.0,324.0,101.0
2005-339,Adelaide,20050103,Hard,103017,102854,6-2 4-6 6-3,3,R32,131.0,5.0,3.0,80.0,47.0,29.0,14.0,14.0,4.0,10.0,0.0,2.0,91.0,65.0,28.0,14.0,13.0,10.0,18.0,21.0,1240.0,57.0,705.0
2005-339,Adelaide,20050103,Hard,104252,101885,6-4 3-6 7-5,3,R32,112.0,6.0,4.0,96.0,55.0,42.0,20.0,15.0,7.0,9.0,17.0,2.0,93.0,48.0,40.0,22.0,16.0,3.0,6.0,35.0,939.0,101.0,433.0
2005-339,Adelaide,20050103,Hard,102358,103171,6-3 6-1,3,R32,67.0,8.0,0.0,43.0,27.0,22.0,12.0,8.0,0.0,0.0,12.0,11.0,78.0,40.0,30.0,9.0,8.0,9.0,13.0,72.0,538.0,82.0,482.0
2005-339,Adelaide,20050103,Hard,103598,103252,6-2 7-6(1),3,R32,92.0,11.0,4.0,69.0,40.0,31.0,16.0,10.0,2.0,3.0,2.0,5.0,62.0,35.0,27.0,10.0,10.0,1.0,4.0,48.0,798.0,68.0,580.0
2005-339,Adelaide,20050103,Hard,104026,104115,6-2 6-4,3,R32,74.0,7.0,6.0,58.0,34.0,30.0,11.0,9.0,1.0,1.0,1.0,6.0,59.0,33.0,24.0,8.0,9.0,2.0,5.0,11.0,1595.0,309.0,107.0
2005-339,Adelaide,20050103,Hard,103720,102860,6-1 6-4,3,R16,61.0,7.0,2.0,54.0,33.0,27.0,11.0,9.0,2.0,3.0,1.0,1.0,47.0,21.0,10.0,12.0,8.0,2.0,6.0,3.0,3590.0,58.0,685.0
2005-339,Adelaide,20050103,Hard,103758,103898,4-6 6-1 6-2,3,R16,98.0,9.0,5.0,79.0,43.0,32.0,17.0,13.0,1.0,4.0,5.0,3.0,84.0,55.0,30.0,11.0,12.0,7.0,13.0,32.0,955.0,65.0,593.0
2005-339,Adelaide,20050103,Hard,103428,103444,7-5 7-5,3,R16,109.0,6.0,0.0,80.0,54.0,41.0,11.0,12.0,7.0,9.0,0.0,8.0,80.0,36.0,26.0,19.0,12.0,3.0,7.0,26.0,1135.0,132.0,334.0
2005-339,Adelaide,20050103,Hard,103781,104025,6-3 6-3,3,R16,61.0,3.0,1.0,64.0,39.0,29.0,12.0,9.0,2.0,3.0,3.0,3.0,48.0,29.0,18.0,8.0,9.0,4.0,8.0,39.0,920.0,173.0,251.0
2005-339,Adelaide,20050103,Hard,103694,103285,6-0 6-3,3,R16,67.0,1.0,0.0,50.0,28.0,15.0,17.0,7.0,3.0,4.0,1.0,5.0,44.0,28.0,14.0,3.0,8.0,2.0,8.0,66.0,585.0,33.0,950.0
