tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2002-339,Adelaide,20011231,Hard,102450,101735,6-3 6-7(5) 6-0,3,R32,117.0,3.0,0.0,83.0,60.0,42.0,17.0,14.0,4.0,5.0,2.0,5.0,93.0,54.0,39.0,13.0,13.0,5.0,10.0,9.0,2100.0,309.0,104.0
2002-339,Adelaide,20011231,Hard,102202,102286,7-6(4) 6-7(3) 6-0,3,R32,145.0,7.0,2.0,95.0,61.0,42.0,20.0,15.0,3.0,6.0,0.0,2.0,114.0,56.0,33.0,28.0,15.0,9.0,15.0,153.0,249.0,160.0,239.0
2002-339,Adelaide,20011231,Hard,102401,102987,6-1 6-2,3,R32,49.0,2.0,0.0,40.0,29.0,22.0,10.0,8.0,0.0,0.0,0.0,4.0,46.0,27.0,13.0,9.0,7.0,3.0,7.0,221.0,165.0,85.0,481.0
2002-339,Adelaide,20011231,Hard,102257,102831,6-3 7-6(4),3,R32,82.0,15.0,3.0,54.0,37.0,35.0,9.0,11.0,0.0,1.0,2.0,4.0,80.0,57.0,36.0,11.0,10.0,7.0,9.0,31.0,1075.0,88.0,464.0
2002-339,Adelaide,20011231,Hard,102358,102701,6-0 6-3,3,R32,52.0,3.0,5.0,58.0,33.0,29.0,9.0,8.0,4.0,4.0,6.0,4.0,43.0,25.0,16.0,5.0,7.0,2.0,6.0,24.0,1165.0,39.0,965.0
2002-339,Adelaide,20011231,Hard,102259,101885,6-4 6-0,3,R32,60.0,3.0,3.0,48.0,34.0,29.0,6.0,8.0,3.0,3.0,10.0,2.0,49.0,28.0,17.0,9.0,8.0,6.0,10.0,50.0,722.0,77.0,518.0
2002-339,Adelaide,20011231,Hard,103428,102887,6-1 6-3,3,R32,67.0,2.0,0.0,40.0,27.0,22.0,8.0,8.0,1.0,2.0,2.0,1.0,57.0,35.0,19.0,7.0,8.0,5.0,10.0,70.0,544.0,92.0,450.0
2002-339,Adelaide,20011231,Hard,103252,103714,6-3 6-4,3,R32,70.0,2.0,5.0,58.0,37.0,28.0,12.0,10.0,3.0,4.0,2.0,1.0,56.0,33.0,21.0,11.0,9.0,0.0,3.0,41.0,933.0,34.0,1025.0
2002-339,Adelaide,20011231,Hard,103344,103188,7-6(2) 7-6(13),3,R32,121.0,11.0,4.0,95.0,53.0,42.0,25.0,12.0,6.0,7.0,3.0,4.0,93.0,68.0,52.0,11.0,12.0,5.0,6.0,37.0,982.0,87.0,466.0
2002-339,Adelaide,20011231,Hard,103454,102722,6-2 6-1,3,R32,71.0,1.0,0.0,45.0,33.0,21.0,8.0,8.0,1.0,2.0,0.0,1.0,42.0,19.0,7.0,8.0,7.0,1.0,6.0,80.0,510.0,93.0,447.0
2002-339,Adelaide,20011231,Hard,103908,102776,6-3 6-1,3,R32,66.0,7.0,1.0,57.0,31.0,26.0,13.0,8.0,5.0,5.0,1.0,2.0,65.0,44.0,24.0,8.0,8.0,5.0,9.0,150.0,256.0,66.0,565.0
2002-339,Adelaide,20011231,Hard,102271,103356,6-3 2-6 7-6(3),3,R32,131.0,3.0,3.0,97.0,55.0,34.0,18.0,14.0,7.0,13.0,1.0,2.0,88.0,56.0,34.0,13.0,15.0,2.0,8.0,25.0,1155.0,46.0,836.0
2002-339,Adelaide,20011231,Hard,102854,103297,6-3 6-2,3,R32,99.0,3.0,1.0,63.0,39.0,27.0,15.0,9.0,2.0,2.0,0.0,2.0,53.0,36.0,19.0,9.0,8.0,2.0,5.0,26.0,1140.0,250.0,143.0
2002-339,Adelaide,20011231,Hard,102882,102369,6-3 6-4,3,R32,76.0,8.0,0.0,47.0,23.0,21.0,19.0,10.0,0.0,0.0,6.0,2.0,53.0,33.0,23.0,10.0,9.0,2.0,4.0,104.0,400.0,53.0,710.0
2002-339,Adelaide,20011231,Hard,103566,101965,6-3 3-6 6-3,3,R32,96.0,4.0,5.0,80.0,38.0,29.0,22.0,14.0,3.0,6.0,7.0,5.0,89.0,52.0,35.0,16.0,13.0,6.0,10.0,89.0,464.0,62.0,600.0
2002-339,Adelaide,20011231,Hard,101774,101948,3-6 6-3 6-4,3,R32,115.0,11.0,4.0,99.0,64.0,46.0,19.0,14.0,3.0,4.0,14.0,4.0,79.0,48.0,39.0,14.0,14.0,2.0,4.0,57.0,620.0,10.0,1940.0
2002-339,Adelaide,20011231,Hard,102450,102202,7-6(2) RET,3,R16,55.0,1.0,0.0,40.0,30.0,24.0,5.0,6.0,0.0,0.0,3.0,0.0,43.0,28.0,21.0,8.0,7.0,3.0,3.0,9.0,2100.0,153.0,249.0
2002-339,Adelaide,20011231,Hard,102257,102401,6-1 3-6 6-4,3,R16,89.0,15.0,5.0,86.0,61.0,46.0,12.0,13.0,8.0,9.0,4.0,1.0,70.0,42.0,26.0,17.0,13.0,1.0,4.0,31.0,1075.0,221.0,165.0
