tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-339,Adelaide,20040105,Hard,104379,101965,6-0 6-1,3,R32,35.0,1.0,0.0,31.0,21.0,20.0,8.0,7.0,0.0,0.0,1.0,3.0,33.0,14.0,5.0,6.0,6.0,0.0,5.0,243.0,145.0,26.0,1125.0
2004-339,Adelaide,20040105,Hard,103171,103084,6-4 6-4,3,R32,88.0,4.0,3.0,79.0,47.0,34.0,19.0,10.0,7.0,7.0,3.0,0.0,59.0,47.0,33.0,6.0,10.0,1.0,3.0,59.0,608.0,272.0,124.0
2004-339,Adelaide,20040105,Hard,102106,103305,6-1 6-1,3,R32,42.0,4.0,1.0,41.0,27.0,19.0,8.0,7.0,4.0,5.0,1.0,5.0,38.0,18.0,6.0,5.0,7.0,4.0,10.0,65.0,542.0,152.0,250.0
2004-339,Adelaide,20040105,Hard,103813,103325,4-6 7-6(6) 7-5,3,R32,131.0,1.0,2.0,100.0,59.0,42.0,28.0,17.0,5.0,7.0,15.0,3.0,107.0,78.0,56.0,15.0,17.0,6.0,8.0,36.0,980.0,82.0,445.0
2004-339,Adelaide,20040105,Hard,102642,104068,6-3 6-4,3,R32,66.0,1.0,1.0,59.0,34.0,26.0,16.0,10.0,2.0,2.0,3.0,2.0,57.0,39.0,27.0,8.0,9.0,2.0,4.0,86.0,423.0,32.0,1055.0
2004-339,Adelaide,20040105,Hard,102257,104527,6-4 6-2,3,R32,61.0,10.0,3.0,55.0,36.0,30.0,11.0,9.0,2.0,2.0,4.0,3.0,56.0,32.0,22.0,10.0,9.0,2.0,5.0,119.0,347.0,171.0,216.0
2004-339,Adelaide,20040105,Hard,103103,103898,6-1 6-4,3,R32,55.0,7.0,0.0,49.0,31.0,23.0,15.0,9.0,2.0,2.0,3.0,4.0,52.0,32.0,25.0,5.0,8.0,3.0,6.0,61.0,584.0,138.0,268.0
2004-339,Adelaide,20040105,Hard,103252,104339,6-3 6-7(6) 7-6(3),3,R32,142.0,2.0,5.0,113.0,74.0,50.0,20.0,16.0,3.0,6.0,12.0,4.0,110.0,59.0,44.0,20.0,17.0,3.0,8.0,54.0,667.0,74.0,475.0
2004-339,Adelaide,20040105,Hard,103758,103632,6-2 6-3,3,R32,65.0,8.0,6.0,51.0,22.0,17.0,20.0,9.0,2.0,2.0,2.0,2.0,54.0,40.0,27.0,3.0,8.0,2.0,5.0,33.0,1045.0,64.0,548.0
2004-339,Adelaide,20040105,Hard,103971,103408,6-2 6-2,3,R32,63.0,4.0,1.0,46.0,25.0,19.0,14.0,8.0,0.0,0.0,0.0,3.0,50.0,27.0,13.0,10.0,8.0,1.0,5.0,66.0,537.0,75.0,470.0
