tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2010-339,Brisbane,20100103,Hard,104053,103429,7-6(5) 6-2,3,R32,84.0,15.0,0.0,63.0,42.0,36.0,14.0,10.0,3.0,3.0,4.0,2.0,56.0,34.0,29.0,11.0,10.0,3.0,5.0,7.0,4410.0,77.0,598.0
2010-339,Brisbane,20100103,Hard,104958,104999,7-5 6-1,3,R32,70.0,10.0,3.0,57.0,30.0,23.0,19.0,10.0,0.0,0.0,2.0,2.0,66.0,34.0,22.0,14.0,9.0,7.0,10.0,134.0,400.0,78.0,590.0
2010-339,Brisbane,20100103,Hard,104755,103813,6-3 4-6 6-4,3,R32,121.0,5.0,4.0,97.0,51.0,33.0,27.0,15.0,5.0,8.0,4.0,0.0,85.0,58.0,38.0,14.0,14.0,7.0,11.0,52.0,850.0,88.0,568.0
2010-339,Brisbane,20100103,Hard,105051,103781,7-5 6-1,3,R32,64.0,12.0,1.0,50.0,35.0,30.0,12.0,10.0,3.0,3.0,2.0,1.0,53.0,29.0,16.0,15.0,9.0,2.0,5.0,285.0,151.0,28.0,1260.0
2010-339,Brisbane,20100103,Hard,104607,105194,6-2 6-4,3,R32,69.0,3.0,1.0,46.0,27.0,24.0,14.0,9.0,1.0,1.0,6.0,1.0,69.0,41.0,26.0,14.0,9.0,6.0,9.0,20.0,1655.0,251.0,179.0
2010-339,Brisbane,20100103,Hard,104571,103888,7-5 7-5,3,R32,101.0,7.0,5.0,62.0,32.0,27.0,17.0,12.0,0.0,1.0,7.0,3.0,77.0,36.0,28.0,20.0,12.0,3.0,6.0,42.0,945.0,55.0,790.0
2010-339,Brisbane,20100103,Hard,103248,103566,6-2 6-0,3,R32,41.0,8.0,0.0,35.0,23.0,18.0,10.0,7.0,0.0,0.0,0.0,0.0,46.0,36.0,17.0,3.0,7.0,5.0,10.0,119.0,461.0,67.0,649.0
2010-339,Brisbane,20100103,Hard,105064,103428,6-3 3-6 6-1,3,R32,105.0,12.0,4.0,87.0,58.0,37.0,14.0,13.0,6.0,10.0,1.0,1.0,71.0,38.0,20.0,17.0,12.0,2.0,8.0,36.0,1021.0,73.0,611.0
2010-339,Brisbane,20100103,Hard,103484,105023,4-6 6-3 6-4,3,R32,88.0,10.0,3.0,86.0,47.0,40.0,24.0,15.0,2.0,3.0,9.0,3.0,85.0,52.0,41.0,16.0,14.0,3.0,5.0,44.0,935.0,25.0,1320.0
2010-339,Brisbane,20100103,Hard,102967,104332,6-3 6-1,3,R32,50.0,4.0,1.0,38.0,27.0,25.0,8.0,8.0,0.0,0.0,4.0,2.0,46.0,21.0,15.0,10.0,8.0,1.0,5.0,58.0,744.0,80.0,587.0
2010-339,Brisbane,20100103,Hard,103722,104714,6-7(3) 7-6(5) 7-5,3,R32,160.0,9.0,1.0,107.0,67.0,46.0,28.0,18.0,2.0,5.0,7.0,1.0,143.0,105.0,69.0,19.0,18.0,5.0,9.0,65.0,665.0,173.0,284.0
2010-339,Brisbane,20100103,Hard,104792,103758,7-6(1) 6-7(5) 6-2,3,R32,133.0,9.0,4.0,104.0,60.0,48.0,28.0,16.0,5.0,5.0,6.0,4.0,105.0,67.0,52.0,17.0,16.0,8.0,10.0,13.0,2610.0,76.0,602.0
2010-339,Brisbane,20100103,Hard,104268,104871,6-4 6-4,3,R32,73.0,2.0,2.0,59.0,25.0,19.0,24.0,10.0,3.0,3.0,6.0,2.0,56.0,32.0,25.0,11.0,10.0,3.0,5.0,81.0,587.0,32.0,1102.0
2010-339,Brisbane,20100103,Hard,104639,103096,6-4 7-6(2),3,R32,113.0,10.0,1.0,86.0,58.0,36.0,17.0,11.0,7.0,9.0,7.0,2.0,67.0,42.0,32.0,11.0,11.0,4.0,7.0,105.0,521.0,63.0,667.0
2010-339,Brisbane,20100103,Hard,105238,106071,6-4 6-4,3,R32,69.0,13.0,1.0,62.0,37.0,29.0,13.0,10.0,3.0,4.0,2.0,1.0,75.0,45.0,33.0,10.0,10.0,8.0,11.0,131.0,413.0,286.0,150.0
2010-339,Brisbane,20100103,Hard,103285,105357,6-4 6-0,3,R32,70.0,3.0,2.0,46.0,34.0,29.0,3.0,8.0,2.0,3.0,1.0,4.0,52.0,27.0,14.0,10.0,8.0,1.0,6.0,12.0,2625.0,306.0,137.0
2010-339,Brisbane,20100103,Hard,104053,104958,7-6(0) 6-3,3,R16,81.0,9.0,0.0,59.0,49.0,41.0,8.0,11.0,1.0,1.0,8.0,3.0,68.0,36.0,26.0,18.0,10.0,7.0,8.0,7.0,4410.0,134.0,400.0
2010-339,Brisbane,20100103,Hard,104755,105051,6-3 6-4,3,R16,80.0,6.0,2.0,59.0,37.0,30.0,12.0,10.0,3.0,4.0,5.0,0.0,55.0,36.0,22.0,9.0,9.0,3.0,6.0,52.0,850.0,285.0,151.0
2010-339,Brisbane,20100103,Hard,104607,104571,6-0 6-1,3,R16,66.0,0.0,0.0,46.0,23.0,16.0,16.0,7.0,3.0,3.0,1.0,3.0,36.0,13.0,7.0,6.0,6.0,2.0,7.0,20.0,1655.0,42.0,945.0
2010-339,Brisbane,20100103,Hard,105064,103248,6-4 4-6 6-4,3,R16,120.0,7.0,1.0,86.0,53.0,42.0,20.0,15.0,3.0,4.0,6.0,1.0,79.0,42.0,39.0,18.0,15.0,3.0,5.0,36.0,1021.0,119.0,461.0
2010-339,Brisbane,20100103,Hard,103484,102967,6-3 3-6 7-6(8),3,R16,120.0,13.0,2.0,95.0,51.0,42.0,23.0,15.0,2.0,4.0,8.0,5.0,120.0,65.0,45.0,30.0,15.0,8.0,10.0,44.0,935.0,58.0,744.0
