tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2003-339,Adelaide,20021230,Hard,102644,101965,7-6(4) 6-2,3,R32,90.0,5.0,4.0,71.0,33.0,25.0,21.0,10.0,6.0,7.0,6.0,2.0,81.0,41.0,29.0,17.0,10.0,4.0,7.0,79.0,494.0,39.0,875.0
2003-339,Adelaide,20021230,Hard,101990,102401,7-6(4) 6-4,3,R32,60.0,16.0,3.0,66.0,40.0,32.0,20.0,11.0,3.0,3.0,3.0,0.0,56.0,39.0,32.0,12.0,11.0,1.0,2.0,112.0,350.0,137.0,279.0
2003-339,Adelaide,20021230,Hard,103408,104126,4-6 6-2 6-0,3,R32,65.0,2.0,1.0,71.0,50.0,31.0,14.0,12.0,1.0,3.0,11.0,9.0,83.0,44.0,27.0,15.0,12.0,4.0,10.0,102.0,386.0,484.0,42.0
2003-339,Adelaide,20021230,Hard,102434,104379,3-6 6-3 6-3,3,R32,69.0,14.0,10.0,77.0,33.0,24.0,22.0,13.0,4.0,8.0,1.0,2.0,96.0,62.0,40.0,11.0,14.0,5.0,11.0,67.0,586.0,319.0,85.0
2003-339,Adelaide,20021230,Hard,104019,102358,3-6 6-4 6-3,3,R32,93.0,7.0,4.0,78.0,52.0,37.0,17.0,14.0,2.0,4.0,5.0,4.0,80.0,49.0,36.0,16.0,14.0,0.0,3.0,164.0,222.0,44.0,810.0
2003-339,Adelaide,20021230,Hard,103157,103248,6-7(5) 6-4 6-1,3,R32,145.0,4.0,3.0,96.0,64.0,43.0,24.0,15.0,1.0,2.0,3.0,0.0,96.0,58.0,38.0,22.0,14.0,9.0,13.0,170.0,214.0,252.0,114.0
2003-339,Adelaide,20021230,Hard,104755,103324,3-6 6-3 6-4,3,R32,127.0,5.0,4.0,90.0,45.0,34.0,26.0,14.0,7.0,9.0,9.0,5.0,90.0,47.0,31.0,24.0,14.0,3.0,6.0,161.0,225.0,98.0,398.0
2003-339,Adelaide,20021230,Hard,103252,103781,6-1 6-3,3,R32,64.0,0.0,4.0,62.0,44.0,33.0,9.0,8.0,7.0,7.0,2.0,4.0,48.0,33.0,21.0,4.0,8.0,5.0,9.0,61.0,640.0,91.0,441.0
2003-339,Adelaide,20021230,Hard,103151,102565,6-1 6-4,3,R32,54.0,6.0,0.0,42.0,25.0,24.0,9.0,9.0,0.0,1.0,4.0,1.0,45.0,24.0,13.0,10.0,8.0,5.0,9.0,53.0,711.0,122.0,327.0
2003-339,Adelaide,20021230,Hard,103280,103722,6-3 6-4,3,R32,75.0,10.0,2.0,50.0,35.0,30.0,8.0,10.0,0.0,1.0,2.0,2.0,76.0,48.0,31.0,11.0,9.0,2.0,5.0,86.0,468.0,202.0,164.0
