tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2012-339,Brisbane,20120101,Hard,104918,105062,5-7 6-3 6-2,3,R32,130.0,10.0,0.0,92.0,57.0,41.0,17.0,15.0,4.0,7.0,4.0,3.0,77.0,41.0,29.0,15.0,14.0,4.0,9.0,4.0,7380.0,91.0,598.0
2012-339,Brisbane,20120101,Hard,104180,103672,6-7(3) 7-6(4) 6-3,3,R32,136.0,23.0,1.0,104.0,55.0,47.0,31.0,17.0,3.0,3.0,3.0,5.0,103.0,67.0,54.0,20.0,16.0,1.0,2.0,54.0,893.0,85.0,630.0
2012-339,Brisbane,20120101,Hard,104571,105992,7-6(7) 6-4,3,R32,101.0,8.0,3.0,71.0,31.0,26.0,26.0,11.0,5.0,6.0,14.0,1.0,79.0,48.0,36.0,17.0,11.0,2.0,4.0,44.0,940.0,79.0,658.0
2012-339,Brisbane,20120101,Hard,105453,105649,3-6 6-1 6-4,3,R32,130.0,1.0,2.0,75.0,49.0,31.0,16.0,13.0,3.0,6.0,4.0,2.0,90.0,49.0,27.0,23.0,13.0,9.0,14.0,25.0,1430.0,81.0,652.0
2012-339,Brisbane,20120101,Hard,104797,104252,7-6(5) 2-3 RET,3,R32,69.0,10.0,1.0,56.0,28.0,23.0,18.0,8.0,2.0,2.0,2.0,1.0,55.0,38.0,28.0,11.0,9.0,0.0,0.0,73.0,685.0,23.0,1630.0
2012-339,Brisbane,20120101,Hard,103163,104594,6-3 7-5,3,R32,99.0,4.0,2.0,66.0,40.0,32.0,14.0,11.0,6.0,7.0,4.0,2.0,77.0,45.0,28.0,15.0,10.0,10.0,13.0,205.0,237.0,203.0,240.0
2012-339,Brisbane,20120101,Hard,105147,106093,6-4 6-2,3,R32,70.0,6.0,0.0,52.0,30.0,24.0,15.0,9.0,2.0,2.0,11.0,6.0,68.0,44.0,30.0,7.0,9.0,8.0,11.0,122.0,474.0,227.0,214.0
2012-339,Brisbane,20120101,Hard,106071,103898,6-2 4-6 7-5,3,R32,147.0,7.0,2.0,92.0,53.0,36.0,23.0,15.0,4.0,7.0,14.0,12.0,121.0,71.0,48.0,19.0,15.0,16.0,21.0,42.0,970.0,52.0,900.0
2012-339,Brisbane,20120101,Hard,103285,105051,6-4 3-6 6-3,3,R32,132.0,8.0,4.0,91.0,51.0,38.0,22.0,14.0,3.0,4.0,5.0,3.0,99.0,64.0,43.0,19.0,14.0,10.0,12.0,28.0,1275.0,86.0,627.0
2012-339,Brisbane,20120101,Hard,103813,105028,7-6(4) 6-2,3,R32,101.0,3.0,0.0,71.0,53.0,32.0,10.0,10.0,6.0,9.0,3.0,6.0,90.0,63.0,36.0,10.0,10.0,9.0,14.0,77.0,666.0,164.0,308.0
2012-339,Brisbane,20120101,Hard,104214,105173,7-6(6) 6-2,3,R32,86.0,7.0,3.0,70.0,41.0,33.0,16.0,10.0,2.0,3.0,3.0,3.0,60.0,35.0,24.0,13.0,10.0,3.0,6.0,115.0,494.0,87.0,623.0
2012-339,Brisbane,20120101,Hard,105238,104268,7-6(3) 6-2,3,R32,81.0,5.0,0.0,75.0,37.0,26.0,16.0,10.0,4.0,7.0,0.0,3.0,58.0,33.0,16.0,12.0,10.0,4.0,9.0,15.0,1925.0,74.0,671.0
2012-339,Brisbane,20120101,Hard,104332,103781,6-1 7-5,3,R32,66.0,8.0,1.0,61.0,37.0,31.0,13.0,10.0,2.0,2.0,5.0,2.0,54.0,34.0,21.0,9.0,9.0,0.0,3.0,63.0,780.0,33.0,1170.0
2012-339,Brisbane,20120101,Hard,105053,105357,6-3 6-3,3,R32,60.0,5.0,0.0,54.0,36.0,30.0,9.0,9.0,2.0,2.0,4.0,1.0,46.0,28.0,18.0,9.0,9.0,1.0,4.0,55.0,890.0,541.0,51.0
2012-339,Brisbane,20120101,Hard,105902,103917,6-4 6-4,3,R32,71.0,5.0,1.0,52.0,31.0,25.0,12.0,10.0,1.0,3.0,5.0,5.0,52.0,32.0,21.0,9.0,10.0,3.0,7.0,275.0,171.0,80.0,653.0
2012-339,Brisbane,20120101,Hard,104468,104976,6-3 6-4,3,R32,83.0,3.0,1.0,63.0,43.0,32.0,10.0,10.0,1.0,2.0,2.0,4.0,60.0,31.0,23.0,10.0,9.0,5.0,8.0,12.0,2165.0,72.0,690.0
2012-339,Brisbane,20120101,Hard,104918,104180,4-6 7-6(4) 6-0,3,R16,120.0,9.0,5.0,82.0,49.0,44.0,12.0,14.0,2.0,4.0,10.0,1.0,92.0,56.0,39.0,17.0,14.0,2.0,6.0,4.0,7380.0,54.0,893.0
2012-339,Brisbane,20120101,Hard,104571,105453,6-3 6-4,3,R16,79.0,10.0,2.0,63.0,33.0,26.0,13.0,10.0,3.0,5.0,0.0,0.0,50.0,30.0,16.0,9.0,9.0,3.0,7.0,44.0,940.0,25.0,1430.0
2012-339,Brisbane,20120101,Hard,104797,103163,W/O,3,R16,,,,,,,,,,,,,,,,,,,,73.0,685.0,205.0,237.0
2012-339,Brisbane,20120101,Hard,106071,105147,6-1 6-2,3,R16,44.0,10.0,1.0,45.0,30.0,24.0,7.0,8.0,0.0,1.0,1.0,2.0,39.0,23.0,11.0,5.0,7.0,1.0,6.0,42.0,970.0,122.0,474.0
2012-339,Brisbane,20120101,Hard,103285,103813,7-6(3) 6-2,3,R16,89.0,3.0,0.0,63.0,39.0,26.0,15.0,10.0,3.0,5.0,3.0,1.0,66.0,39.0,22.0,14.0,10.0,0.0,4.0,28.0,1275.0,77.0,666.0
2012-339,Brisbane,20120101,Hard,105238,104214,6-7(3) 7-6(9) 6-2,3,R16,158.0,0.0,2.0,120.0,78.0,54.0,24.0,16.0,6.0,8.0,10.0,4.0,115.0,71.0,52.0,22.0,16.0,5.0,9.0,15.0,1925.0,115.0,494.0
2012-339,Brisbane,20120101,Hard,105053,104332,6-4 6-4,3,R16,76.0,1.0,2.0,59.0,35.0,27.0,15.0,10.0,0.0,0.0,9.0,1.0,66.0,38.0,29.0,13.0,10.0,1.0,3.0,55.0,890.0,63.0,780.0
2012-339,Brisbane,20120101,Hard,104468,105902,6-3 7-5,3,R16,90.0,11.0,4.0,66.0,31.0,26.0,21.0,11.0,0.0,1.0,8.0,1.0,67.0,38.0,25.0,15.0,10.0,5.0,8.0,12.0,2165.0,275.0,171.0
2012-339,Brisbane,20120101,Hard,104918,104571,6-2 6-2,3,QF,66.0,3.0,2.0,52.0,31.0,26.0,10.0,8.0,2.0,2.0,2.0,3.0,40.0,19.0,12.0,7.0,8.0,0.0,4.0,4.0,7380.0,44.0,940.0
2012-339,Brisbane,20120101,Hard,106071,104797,6-3 7-6(4),3,QF,79.0,8.0,0.0,72.0,45.0,36.0,15.0,11.0,0.0,0.0,8.0,2.0,57.0,32.0,26.0,15.0,10.0,0.0,1.0,42.0,970.0,73.0,685.0
2012-339,Brisbane,20120101,Hard,105238,103285,4-6 6-3 6-3,3,QF,136.0,16.0,2.0,88.0,52.0,33.0,21.0,14.0,3.0,6.0,2.0,4.0,92.0,48.0,34.0,18.0,14.0,8.0,13.0,15.0,1925.0,28.0,1275.0
2012-339,Brisbane,20120101,Hard,104468,105053,7-6(2) 6-4,3,QF,108.0,5.0,1.0,78.0,47.0,34.0,18.0,11.0,6.0,8.0,2.0,0.0,78.0,52.0,32.0,13.0,11.0,5.0,8.0,12.0,2165.0,55.0,890.0
2012-339,Brisbane,20120101,Hard,104918,106071,6-3 6-2,3,SF,71.0,13.0,1.0,48.0,34.0,30.0,8.0,9.0,0.0,0.0,3.0,1.0,52.0,29.0,21.0,10.0,8.0,8.0,11.0,4.0,7380.0,42.0,970.0
2012-339,Brisbane,20120101,Hard,105238,104468,6-3 6-4,3,SF,82.0,3.0,0.0,48.0,27.0,23.0,15.0,9.0,1.0,1.0,6.0,1.0,65.0,38.0,24.0,16.0,10.0,4.0,7.0,15.0,1925.0,12.0,2165.0
2012-339,Brisbane,20120101,Hard,104918,105238,6-1 6-3,3,F,66.0,9.0,2.0,47.0,30.0,25.0,9.0,8.0,3.0,4.0,2.0,4.0,66.0,35.0,19.0,11.0,8.0,5.0,10.0,4.0,7380.0,15.0,1925.0
2012-891,Chennai,20120102,Hard,106026,103971,6-2 6-3,3,R32,80.0,1.0,2.0,46.0,29.0,22.0,9.0,9.0,1.0,3.0,1.0,1.0,62.0,33.0,15.0,13.0,8.0,8.0,13.0,345.0,122.0,101.0,567.0
2012-891,Chennai,20120102,Hard,104676,105577,6-3 7-6(8),3,R32,111.0,0.0,4.0,74.0,47.0,33.0,17.0,10.0,4.0,5.0,15.0,3.0,95.0,57.0,39.0,16.0,11.0,3.0,6.0,98.0,580.0,119.0,481.0
2012-891,Chennai,20120102,Hard,105676,103598,4-6 6-2 6-3,3,R32,113.0,8.0,3.0,85.0,51.0,40.0,18.0,14.0,3.0,4.0,4.0,1.0,77.0,43.0,31.0,19.0,13.0,9.0,12.0,174.0,287.0,49.0,910.0
2012-891,Chennai,20120102,Hard,104273,103799,6-4 6-3,3,R32,71.0,5.0,2.0,49.0,30.0,22.0,12.0,9.0,2.0,3.0,2.0,3.0,59.0,33.0,21.0,13.0,10.0,3.0,7.0,106.0,548.0,97.0,581.0
2012-891,Chennai,20120102,Hard,104424,104523,6-2 6-7(4) 7-5,3,R32,159.0,6.0,1.0,103.0,64.0,48.0,19.0,16.0,2.0,4.0,5.0,2.0,105.0,70.0,45.0,18.0,16.0,6.0,11.0,120.0,481.0,102.0,561.0
2012-891,Chennai,20120102,Hard,104471,104986,4-6 7-6(8) 6-1,3,R32,155.0,8.0,2.0,101.0,65.0,47.0,20.0,15.0,6.0,8.0,11.0,5.0,86.0,59.0,41.0,13.0,14.0,0.0,3.0,36.0,1065.0,313.0,140.0
2012-891,Chennai,20120102,Hard,104534,104926,6-0 6-1,3,R32,59.0,2.0,0.0,33.0,17.0,14.0,11.0,6.0,1.0,1.0,1.0,4.0,58.0,32.0,17.0,5.0,7.0,8.0,14.0,83.0,640.0,48.0,915.0
2012-891,Chennai,20120102,Hard,105332,105137,6-2 6-1,3,R32,55.0,8.0,2.0,44.0,25.0,24.0,11.0,8.0,1.0,1.0,0.0,5.0,52.0,20.0,13.0,12.0,7.0,4.0,8.0,95.0,586.0,89.0,612.0
2012-891,Chennai,20120102,Hard,103812,105023,6-3 6-4,3,R32,76.0,3.0,0.0,57.0,39.0,29.0,11.0,10.0,2.0,3.0,9.0,8.0,65.0,41.0,29.0,7.0,9.0,1.0,4.0,90.0,600.0,93.0,589.0
2012-891,Chennai,20120102,Hard,105216,103694,6-3 6-4,3,R32,100.0,3.0,1.0,78.0,51.0,37.0,11.0,10.0,6.0,7.0,0.0,0.0,54.0,32.0,19.0,13.0,9.0,4.0,7.0,235.0,207.0,67.0,704.0
2012-891,Chennai,20120102,Hard,104229,105217,6-3 6-3,3,R32,86.0,1.0,3.0,57.0,36.0,29.0,9.0,9.0,0.0,1.0,5.0,0.0,56.0,32.0,20.0,10.0,9.0,2.0,6.0,82.0,651.0,223.0,216.0
2012-891,Chennai,20120102,Hard,104327,104882,4-6 7-5 6-3,3,R32,177.0,6.0,3.0,109.0,60.0,42.0,24.0,16.0,7.0,11.0,13.0,7.0,107.0,58.0,37.0,25.0,15.0,8.0,13.0,88.0,622.0,92.0,590.0
2012-891,Chennai,20120102,Hard,104386,106026,6-1 6-3,3,R16,62.0,5.0,1.0,41.0,20.0,17.0,16.0,8.0,1.0,1.0,3.0,2.0,39.0,22.0,12.0,9.0,8.0,0.0,4.0,9.0,2595.0,345.0,122.0
2012-891,Chennai,20120102,Hard,105676,104676,4-6 6-4 6-2,3,R16,138.0,6.0,4.0,82.0,43.0,30.0,25.0,14.0,6.0,8.0,4.0,0.0,98.0,71.0,43.0,14.0,14.0,12.0,16.0,174.0,287.0,98.0,580.0
2012-891,Chennai,20120102,Hard,104527,104273,3-6 6-3 7-5,3,R16,145.0,10.0,1.0,82.0,52.0,35.0,19.0,15.0,2.0,6.0,4.0,0.0,104.0,70.0,43.0,16.0,15.0,6.0,11.0,17.0,1820.0,106.0,548.0
