tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2007-339,Adelaide,20070101,Hard,103908,103401,4-6 6-3 6-3,3,RR,115.0,1.0,1.0,75.0,49.0,32.0,16.0,14.0,2.0,5.0,8.0,1.0,82.0,54.0,36.0,10.0,14.0,6.0,11.0,55.0,723.0,75.0,511.0
2007-339,Adelaide,20070101,Hard,105223,103908,7-6(3) 0-6 6-3,3,RR,148.0,14.0,4.0,102.0,61.0,37.0,24.0,14.0,10.0,13.0,6.0,1.0,82.0,48.0,35.0,20.0,13.0,6.0,7.0,92.0,445.0,55.0,723.0
2007-339,Adelaide,20070101,Hard,105095,103516,7-5 7-5,3,R32,97.0,6.0,2.0,69.0,37.0,31.0,18.0,12.0,4.0,5.0,10.0,9.0,81.0,47.0,36.0,12.0,12.0,7.0,10.0,102.0,418.0,162.0,257.0
2007-339,Adelaide,20070101,Hard,103285,105095,4-6 6-2 6-2,3,RR,99.0,4.0,2.0,72.0,38.0,31.0,19.0,13.0,5.0,7.0,9.0,4.0,92.0,61.0,39.0,11.0,13.0,6.0,11.0,19.0,1340.0,102.0,418.0
2007-339,Adelaide,20070101,Hard,102434,105095,6-1 7-6(6),3,RR,72.0,3.0,0.0,64.0,42.0,31.0,14.0,10.0,1.0,2.0,4.0,2.0,58.0,42.0,27.0,8.0,9.0,0.0,3.0,73.0,514.0,102.0,418.0
2007-339,Adelaide,20070101,Hard,102834,103103,6-2 7-6(4),3,RR,88.0,4.0,1.0,67.0,31.0,21.0,20.0,10.0,1.0,4.0,5.0,5.0,65.0,39.0,21.0,12.0,10.0,3.0,8.0,70.0,526.0,21.0,1238.0
2007-339,Adelaide,20070101,Hard,103429,103103,7-6(7) 6-3,3,RR,92.0,6.0,4.0,76.0,45.0,28.0,17.0,11.0,9.0,12.0,2.0,7.0,70.0,35.0,24.0,14.0,10.0,3.0,7.0,166.0,245.0,21.0,1238.0
2007-339,Adelaide,20070101,Hard,102434,103285,6-4 6-4,3,RR,67.0,2.0,1.0,53.0,29.0,23.0,19.0,10.0,1.0,1.0,4.0,2.0,55.0,31.0,24.0,12.0,10.0,0.0,2.0,73.0,514.0,19.0,1340.0
2007-339,Adelaide,20070101,Hard,104026,102434,7-6(7) 6-3,3,QF,77.0,14.0,7.0,73.0,50.0,40.0,12.0,11.0,0.0,0.0,5.0,2.0,68.0,48.0,33.0,13.0,10.0,1.0,2.0,193.0,202.0,73.0,514.0
2007-339,Adelaide,20070101,Hard,104433,103385,6-3 6-3,3,R32,67.0,5.0,1.0,50.0,34.0,27.0,8.0,9.0,1.0,2.0,5.0,1.0,59.0,35.0,20.0,11.0,9.0,4.0,8.0,88.0,457.0,276.0,144.0
2007-339,Adelaide,20070101,Hard,104026,104160,6-4 6-4,3,R32,60.0,7.0,4.0,49.0,30.0,26.0,14.0,10.0,0.0,0.0,3.0,5.0,56.0,30.0,22.0,14.0,10.0,5.0,7.0,193.0,202.0,99.0,428.0
2007-339,Adelaide,20070101,Hard,104026,104468,6-4 7-5,3,RR,60.0,11.0,0.0,58.0,36.0,30.0,15.0,11.0,0.0,0.0,13.0,2.0,51.0,35.0,29.0,10.0,11.0,1.0,3.0,193.0,202.0,45.0,801.0
2007-339,Adelaide,20070101,Hard,103722,104026,2-6 6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,,60.0,665.0,193.0,202.0
2007-339,Adelaide,20070101,Hard,104925,104026,6-3 6-2,3,SF,67.0,8.0,2.0,44.0,30.0,28.0,9.0,9.0,0.0,0.0,6.0,3.0,66.0,48.0,27.0,8.0,8.0,6.0,9.0,16.0,1380.0,193.0,202.0
